Name_number;Name_submitted;Overall_score;Name_matched;Name_matched_rank;Name_score;Name_matched_author;Name_matched_url;Author_matched;Author_score;Family_matched;Family_score;Name_matched_accepted_family;Genus_matched;Genus_score;Specific_epithet_matched;Specific_epithet_score;Infraspecific_rank;Infraspecific_epithet_matched;Infraspecific_epithet_score;Infraspecific_rank_2;Infraspecific_epithet_2_matched;Infraspecific_epithet_2_score;Annotations;Unmatched_terms;Taxonomic_status;Accepted_name;Accepted_name_author;Accepted_name_rank;Accepted_name_url;Accepted_name_species;Accepted_name_family;Selected;Source;Warnings;Accepted_name_lsid
57;LENTIL;0.77;Lentilla;genus;0.77;;http://www.theplantlist.org/tpl1.1/search?q=Lentilla;;;;;Fabaceae;Lentilla;0.75;;;;;;;;;;;No opinion;;;;;;;true;tpl; ;
58;PEAR;0.77;Pera;genus;0.77;;"http://www.theplantlist.org/tpl1.1/search?q=Pera;http://plants.usda.gov/java/profile?symbol=PERA7";;;;;Euphorbiaceae;Pera;0.75;;;;;;;;;;;Accepted;Pera;;genus;"http://www.theplantlist.org/tpl1.1/search?q=Pera;http://plants.usda.gov/java/profile?symbol=PERA7";;Euphorbiaceae;true;"tpl;usda"; ;
59;PUMPKIN;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
60;STRAWBERRY;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
61;TOMATO FRUIT;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
62;CORN KERNEL;0.4;Cornus;genus;0.4;;http://www.theplantlist.org/tpl1.1/search?q=Cornus;;;;;Cornaceae;Cornus;0.67;;;;;;;;;;KERNEL;Accepted;Cornus;;genus;http://www.theplantlist.org/tpl1.1/search?q=Cornus;;Cornaceae;true;tpl; [Partial match] ;
63;ARCTIUM LAPPA;1;Arctium lappa;species;1;;http://www.theplantlist.org/tpl1.1/search?q=Arctium+lappa;;;;;Asteraceae;Arctium;1;lappa;1;;;;;;;;;No opinion;;;;;;;true;tpl; ;
64;BRASSICA OLERACEA;1;Brassica oleracea;species;1;L.;"http://www.theplantlist.org/tpl1.1/record/kew-2682457;http://www.tropicos.org/Name/4100070;http://plants.usda.gov/java/profile?symbol=BROL";;;;;Brassicaceae;Brassica;1;oleracea;1;;;;;;;;;Accepted;Brassica oleracea;L.;species;"http://www.theplantlist.org/tpl1.1/record/kew-2682457;http://www.tropicos.org/Name/4100070;http://plants.usda.gov/java/profile?symbol=BROL";Brassica oleracea;Brassicaceae;true;"tpl;tropicos;usda"; ;
65;CABBAGE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
66;CAMELLIA SINENSIS;1;Camellia sinensis;species;1;(L.) Kuntze;"http://www.theplantlist.org/tpl1.1/record/kew-2694880;http://www.tropicos.org/Name/31600230;http://plants.usda.gov/java/profile?symbol=CASI16";;;;;Theaceae;Camellia;1;sinensis;1;;;;;;;;;Accepted;Camellia sinensis;(L.) Kuntze;species;"http://www.theplantlist.org/tpl1.1/record/kew-2694880;http://www.tropicos.org/Name/31600230;http://plants.usda.gov/java/profile?symbol=CASI16";Camellia sinensis;Theaceae;true;"tpl;tropicos;usda"; ;
67;MORINGA OLEIFERA;1;Moringa oleifera;species;1;Lam.;"http://www.theplantlist.org/tpl1.1/record/tro-21400003;http://www.tropicos.org/Name/21400003;http://plants.usda.gov/java/profile?symbol=MOOL";;;;;Moringaceae;Moringa;1;oleifera;1;;;;;;;;;Accepted;Moringa oleifera;Lam.;species;"http://www.theplantlist.org/tpl1.1/record/tro-21400003;http://www.tropicos.org/Name/21400003;http://plants.usda.gov/java/profile?symbol=MOOL";Moringa oleifera;Moringaceae;true;"tpl;tropicos;usda"; ;
68;RADISH;0.6;Radia;genus;0.6;Noronha;http://www.tropicos.org/Name/50082372;;;;;Sapotaceae;Radia;0.67;;;;;;;;;;;Invalid;;;;;;;true;tropicos; ;
69;SPINACH LEAF;0.46;Spinacia;genus;0.46;;"http://www.theplantlist.org/tpl1.1/search?q=Spinacia;http://plants.usda.gov/java/profile?symbol=SPINA";;;;;Amaranthaceae;Spinacia;0.75;;;;;;;;;;LEAF;Accepted;Spinacia;;genus;"http://www.theplantlist.org/tpl1.1/search?q=Spinacia;http://plants.usda.gov/java/profile?symbol=SPINA";;Amaranthaceae;true;"tpl;usda"; [Partial match] ;
