Longitude	Latitude	Species_TNRS	lon.test	lat.test
145,2027	-37,9225	Abeliophyllum distichum	0,2027	0,9225
144,7166	-37,808	Abeliophyllum distichum	0,7166	0,808
150,7155676	-34,05480146	Abeliophyllum distichum	0,715567555	0,054801459
149,5102	-37,3972	Abeliophyllum distichum	0,5102	0,3972
145,1433	-36,4088	Abeliophyllum distichum	0,1433	0,4088
139,1702	-35,50668	Abeliophyllum distichum	0,1702	0,50668
149,7014917	-36,73894206	Abeliophyllum distichum	0,701491703	0,738942057
152,5833333	-25,25	Abeliophyllum distichum	0,583333333	0,25
146,1	-36	Abeliophyllum distichum	0,1	0
145,2866	-38,0125	Abeliophyllum distichum	0,2866	0,0125
151,8899823	-29,19841923	Abeliophyllum distichum	0,889982281	0,198419231
145,9111111	-24,06055556	Abeliophyllum distichum	0,911111111	0,060555556
143,5667	-38,5667	Abeliophyllum distichum	0,5667	0,5667
138,97133	-35,41267	Abeliophyllum distichum	0,97133	0,41267
145,4286	-36,2761	Abeliophyllum distichum	0,4286	0,2761
150,7233325	-28,64953821	Abeliophyllum distichum	0,723332539	0,649538208
145,1	-36	Abeliophyllum distichum	0,1	0
145,2969	-37,7138	Abeliophyllum distichum	0,2969	0,7138
145,6444	-36,8833	Abeliophyllum distichum	0,6444	0,8833
152,5218085	-32,3424936	Abeliophyllum distichum	0,521808537	0,342493604
149,3343826	-29,34563972	Abeliophyllum distichum	0,334382553	0,345639723
149,070667	-35,436322	Abeliophyllum distichum	0,070667	0,436322
144,7161	-37,813	Abeliophyllum distichum	0,7161	0,813
138,54986	-35,37016	Abeliophyllum distichum	0,54986	0,37016
145,1722	-37,7352	Abeliophyllum distichum	0,1722	0,7352
138,79112	-35,50669	Abeliophyllum distichum	0,79112	0,50669
146,253	-37,9033	Abeliophyllum distichum	0,253	0,9033
146,42	-36,65916667	Abeliophyllum distichum	0,42	0,659166667
145,5341	-37,6744	Abeliophyllum distichum	0,5341	0,6744
139,0445	-35,49903	Abeliophyllum distichum	0,0445	0,49903
151,4272196	-33,30657078	Abeliophyllum distichum	0,427219553	0,306570778
145,293	-37,7122	Abeliophyllum distichum	0,293	0,7122
139,11429	-35,59945	Abeliophyllum distichum	0,11429	0,59945
145,1686	-37,8469	Abeliophyllum distichum	0,1686	0,8469
139,34557	-35,65533	Abeliophyllum distichum	0,34557	0,65533
139,26711	-35,48779	Abeliophyllum distichum	0,26711	0,48779
138,87042	-35,54452	Abeliophyllum distichum	0,87042	0,54452
150,935281	-33,677883	Abeliophyllum distichum	0,935281	0,677883
146,675	-38,4852	Abeliophyllum distichum	0,675	0,4852
149,6347019	-24,16591616	Abeliophyllum distichum	0,634701871	0,165916161
144,7847	-37,765	Abeliophyllum distichum	0,7847	0,765
144,3652	-38,1794	Abeliophyllum distichum	0,3652	0,1794
145,1291	-38,0372	Abeliophyllum distichum	0,1291	0,0372
144,9	-40,8667	Abeliophyllum distichum	0,9	0,8667
150,860407	-33,76212	Abeliophyllum distichum	0,860407	0,76212
151,1178225	-33,81508931	Abeliophyllum distichum	0,117822506	0,815089308
150,722873	-34,00129354	Abeliophyllum distichum	0,722873034	0,001293543
145,1175	-37,5761	Abeliophyllum distichum	0,1175	0,5761
138,97135	-35,41273	Abeliophyllum distichum	0,97135	0,41273
139,04613	-35,49987	Abeliophyllum distichum	0,04613	0,49987
144,2952	-38,215	Abeliophyllum distichum	0,2952	0,215
139,09974	-35,52319	Abeliophyllum distichum	0,09974	0,52319
144,768	-37,8405	Abeliophyllum distichum	0,768	0,8405
144,8766	-37,7391	Abeliophyllum distichum	0,8766	0,7391
144,3127	-38,1516	Abeliophyllum distichum	0,3127	0,1516
146,1775	-36,6571	Abeliophyllum distichum	0,1775	0,6571
150,0199324	-36,07723734	Abeliophyllum distichum	0,019932445	0,077237343
152,5374168	-32,04776812	Abeliophyllum distichum	0,537416763	0,047768124
138,9783	-35,4043	Abeliophyllum distichum	0,9783	0,4043
148,9	-37,2833	Abeliophyllum distichum	0,9	0,2833
