"Species_TNRS";"Species";"Longitude";"Latitude";"Country";"Locality";"Elevation";"Event_date";"Extracted_from";"Restriction"
"Abeliophyllum distichum";"Paspalum distichum";153,041539252;-29,633608007;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,977523874;-30,942213651;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,766208952;-30,720976939;"Australia";"locality withheld";365;"1995-12-15";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum";117,1;-33,51666667;"Australia";"143 mile peg Albany Highway (20 miles before turnoff to Broomehill) [32 km from turnoff]"; ;"1965-12-12";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,101498174;-29,623575854;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,80645666;-31,004340099;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,065685819;-29,623869173;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";148,935451749;-31,37558091;"Australia";"locality withheld";529;"2007-12-11";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,943730702;-30,996586584;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,901514573;-31,051106449;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,886892307;-31,026163459;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";149,1667;-37,5167;"Australia";"Cann River Jungle."; ;"1951-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,269737561;-29,492358273;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";144,7947;-37,8097;"Australia";"B1823400"; ;"1986-12-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";140,6217;-34,31153;"Australia";""; ;"2006-12-11";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,177015522;-29,545564361;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";144,7347;-37,5394;"Australia";"Emu Bottom"; ;"2013-12-23";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";144,7916;-37,8063;"Australia";"B1820100"; ;"1986-12-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";147,787846711218;-42,1327608023275;"Australia";""; ;"1993-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,966508737;-31,068238542;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,0105555556;-26,5775;"Australia";"MAROOCHY RIVER DUNETHIN ROCK 6KM ESE OF YANDINA (GPS 26 34 39 153 00 38)"; ;"1999-12-19";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";144,898;-37,5741;"Australia";"T0934200"; ;"2008-12-05";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";143,5972;-38,6677;"Australia";"D3436200"; ;"2002-12-03";"ALA";""
